goldLabel	predictedLabel	a	e	i	o	u
i	i	0.018824684132556238	0.11626597822643472	0.4213190539993639	0.09323552910868081	0.35035475453296433
i	i	0.0007309503969462077	0.049893547826805155	0.7646490299234301	0.011895244281792741	0.1728312275710259
i	i	0.013857609465368029	0.09266316665376434	0.4901506560687768	0.0716980234932787	0.3316305443188122
i	i	0.002479895102569037	0.06712944612244312	0.6827304158887307	0.02490266669217766	0.22275757619407952
i	u	0.029398600295968774	0.15976312713259821	0.3276768769820243	0.12976857351823615	0.35339282207117234
i	u	0.03951820399926299	0.11693215833063828	0.3373053551297458	0.13360767523956604	0.3726366073007868
i	u	0.053828578917885735	0.121812884589832	0.28910077298290016	0.1588917599027085	0.3763660036066737
i	i	0.011594398731186811	0.08356251288031251	0.5202600473931687	0.06294306536734348	0.3216399756279884
i	i	0.011627497746154455	0.08528354236024685	0.5189512722914029	0.06336463610982633	0.32077305149236945
i	i	0.013260320064446454	0.09807990104743564	0.490091789531542	0.07130656694327805	0.327261422413298
i	i	0.0027580190800232615	0.07817799637209638	0.6568148326137597	0.028423574015108168	0.23382557791901257
i	i	0.004925370624147002	0.0775755217237742	0.6103702332650746	0.03877345952463799	0.26835541486236636
i	i	0.0008950023165815341	0.06586981705391405	0.7414230026580229	0.014501832446765972	0.17731034552471553
i	i	0.0008935958895705273	0.040641146016356454	0.7643952895535158	0.01229386284803467	0.18177610569252262
i	i	0.0025397825745736746	0.061844915094578616	0.6853207249098404	0.024550586953918124	0.2257439904670892
i	i	0.014083653887127257	0.10948794292635818	0.4697684882669421	0.07644920626600711	0.3302107086535652
i	i	0.004845636940477221	0.06668764690845547	0.6277564930582243	0.03597015553053483	0.26474006756230806
i	i	0.0013576004611754215	0.05658066383267445	0.7328934508714123	0.01675472055243819	0.19241356428229964
i	u	0.04119732620352744	0.12739988716244804	0.31759886137047677	0.14185122210094392	0.3719527031626039
i	i	0.016902943559848605	0.09288530936574432	0.47031189837548976	0.07907395076101324	0.3408258979379041
i	i	0.003424878411244644	0.06440583507437155	0.6581562347963901	0.029395561164992246	0.24461749055300147
i	i	0.00013053704389515502	0.07250893616728138	0.7983997362887721	0.005802877227354956	0.12315791327269639
i	i	0.02115405819666062	0.11134635108564038	0.41562601886894734	0.09683928399166426	0.3550342878570875
i	i	0.0009752110106947025	0.05200623153461442	0.7469066688696944	0.014206271831863234	0.18590561675313336
i	i	0.004126446925857414	0.05903331553204073	0.6501246783213793	0.03127519746317734	0.2554403617575452
i	i	0.0009834070037113964	0.05048621356228211	0.7513159871202445	0.013926861594335259	0.18328753071942683
i	i	0.000657595192847196	0.06350812819907797	0.7552417662098343	0.012350667986908634	0.1682418424113317
i	i	0.005533572088766256	0.09093797424414131	0.5884800503132819	0.042953378391942305	0.2720950249618683
i	i	0.0036082455647175418	0.08517272623698033	0.6291066350392256	0.033729059718012225	0.24838333344106434
i	u	0.033443300187847025	0.11627803261971463	0.3580188171657718	0.12299208086393434	0.36926776916273224
i	i	0.01223160349403272	0.10213404312438694	0.4946592427175387	0.0689048283431172	0.32207028232092444
i	i	0.00034097255084219135	0.03997753835717421	0.8007274233844365	0.007562306729956145	0.15139175897759088
